,Brand,Color,Age Range (Description),Special Feature,Weight Limit,Number of Wheels,Model Name,Wheel Material,Frame Material,Item Weight,Handlebar Type,Handle Height,Wheel Size,Wheel Type,Suspension Type,Grip Type,Brake Style,Warranty Type,Charging Time,Product Dimensions,null,Item Package Dimensions L x W x H,Package Weight,Brand Name,Warranty Description,Material,Suggested Users,Manufacturer,Part Number,Style,Included Components,Size,Sport Type,Price,Product Name,Product Rating,Recommended Uses For Product,Package Dimensions,Country of Origin,ASIN,Item model number,Batteries,Best Sellers Rank,Customer Reviews,Department,Number of Items,Item Dimensions LxWxH,Model Year,Team Name,Hand Orientation,Grip Size,Batteries required,Import,Skill Level,Deck Length,Deck Width,Load Capacity,Rotation Direction,Number Of Items,Bike Type,Manufacturer recommended age,Vehicle Service Type,Pattern,Mounting Type,Strap Type,Capacity,Closure Type,Handle Type,Shell Type,Power Source,Resistance Mechanism,Maximum Weight Recommendation,Maximum Height,Minimum Height,Number of Resistance Levels,Number of Pieces,Exterior Finish,Handle Material,Unit Count,Theme,Is Discontinued By Manufacturer,Release date,Maximum height recommendation,Material Type,Additional product features
104,tamnpoo,gray,,防爆胎,265 Pounds,2,HT-T4,Rubber,,25 Pounds,,,8.5 Inches,Solid,NO-Suspension,,Front Braking,12-month or 6-month warranty for different parts,,"43""L x 6""W x 43""H",,44 x 20.1 x 6.4 inches,13.04 Kilograms,tamnpoo,,Aluminum,unisex-adult,"Shenzhen Huopingguo Technology Co., LTD.",HT-T4,freeride,,"43.29""L x 6""W x 43""H",ride,199,"Electric Scooter for Adults, Commuting E-Scooter, Foldable City Electric Scooter, Max Speed 19 MPH, Max Range 19 Mile Portable Double Brak System and Smart APP Electric Scooter for Younger",5.0,,,,,,,,,,1,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Kugookirin,Black,Adult,"Foldable, With Seat",330 Pounds,2,M4Pro Electric Scooter,Rubber,,25 Kilograms,Adjustable,101 Centimeters,10 Inches,Pneumatic,Front Suspension,,Disc Brake,Limited,6 Hours,,43 Miles,47.05 x 19.88 x 10.24 inches,31 Kilograms,Kugookirin,,Aluminum,unisex-adult,"Shenzhen Teamgee Electronics Co.,Ltd",,Electric Scooter,,,Scooter riding,599,"KUGOO Kirin Electric Scooter Adults, 864WH Power, 43Miles Range, 30MPH Max Speed, 10"" Off-Road Tires, Folding Commuter Electric Scooter with Seat",& FREE Shipping,,,,,,,,,,1,47.05 x 10.24 x 19.88 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Hiboy,Black,Adult,Foldable,220 Pounds,2,KS4 Pro,Rubber,,14 Kilograms,Fixed,,10 Inches,Solid,Rear Suspension,Foldable,"Front Braking, Rear Braking",Limited,7 Hours,"45.3""L x 16.5""W x 47.6""H",25 Miles,46.38 x 22.13 x 7.25 inches,20.37 Kilograms,Hiboy,12-month or 6-month warranty for different parts,Aluminum,Unisex-adult,Freeman IT Limited,KS4 Pro,KS4 Pro,Electric scooter,,Scooter,699,"Hiboy KS4/KS4 Pro (Hiboy S2 Pro Upgraded Version) Electric Scooter Adults with 500W Motor (Ver. KS4 350W), 19 MPH 25 Miles Range (Ver. KS4 17 Miles), 8""-10"" Tires Folding Commuter Electric Scooter",4.4,,,,,,,,,,,,,Hiboy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Swagtron,Blue,12+ Years,Foldable,150 Pounds,2,SG-8,Rubber,Aluminum,17.4 Pounds,Adjustable,39.5 Inches,5.5 Inches,Solid,,,Rear Braking,Limited,3 Hours,"36.41""L x 16.9""W x 40.15""H",9.94 Miles,38 x 14.36 x 8 inches,9.49 Kilograms,Swagtron,90 days manufacturer,Aluminum,unisex-teen,SWAGTRON,B07TJWPZ6K,,"Charger, Manual",One Size,Outdoor Lifestyle,179,Swagtron SG-8 Swagger 8 Lightweight Folding Electric Scooter for Kids & Teens,& FREE Shipping,,,,,,,,,,1,,2019,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Uzi,black,,Lightweight,,,FCA136-546020,,,,,,,,Dual,,,,,,,8.35 x 4.33 x 1.93 inches,0.43 Kilograms,Uzi,"Package for one month, one -year warranty",,,Uzi,,54.6v 2a Charger,,,,37,Uzi Official Store 54.6V 2Amp Charger(with Multiple Output Heads) for Fast and Safe Charging of Your 48V Li-ion Battery-Compatible with Ebike/Balancing Electric Scooter etc.,4.1,,,,,,,,,,1,5.98 x 2.83 x 1.64 inches,,,,,,,,,,,,,"Electric Bike, Commuting Bike",,,,,,,,,,,,,,,,,,,,,,,,,
109,Hover-1,Black,Teen; Kid; Adult,Wide Platform,264 Pounds,2,H1-ALPHA,Stainless Steel,,34.4 Pounds,Adjustable,33.5 Inches,10 Inches,Solid,,Contoured,Disc,90 days,6.5 Hours,"44.7""L x 16.7""W x 45.4""H",12 Miles,46.6 x 21.9 x 9.2 inches,21.82 Kilograms,Hover-1,90 days,"Aluminum, Plastic",Unisex-adult,DGL Group,H1-ALPHA,Alpha,"Manual, Charger, Hover-1 Alpha Folding Scooter",Black,,399,"Hover-1 Alpha Electric Scooter | 18MPH, 12M Range, 5HR Charge, LCD Display, 10 Inch High-Grip Tires, 264LB Max Weight, Cert. & Tested - Safe for Kids, Teens & Adults",3.4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Hurtle,Blue,Adult,"App Control, Foldable",330.69 Pounds,2,HURES80,Rubber,Aluminum,24.04 Kilograms,Adjustable,51 Centimeters,10 Inches,Puncture-proof Solid Tire,Front and rear dual suspensions,Ergonomic,Rear Braking,,6 Hours,,22 Miles,47 x 22 x 8 inches,24.04 Kilograms,Hurtle,,High Strength Aluminum Alloy,unisex-teen,Sound Around,HURES80,,"Wrench, M5 Screws, Wall Charger, Charging Cable, Folding Electric Scooter",LWH: 1168x176x1167mm (Unfold),,556,"Hurtle Folding Electric Scooter - 10” Pneumatic Tires, 25 Miles Range, 19 MPH Max Speed, 500W 36V Brushless Motor Escooter with App Control, E-ABS Front Drum & Rear Disc Brakes, E-Scooter for Adult",3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,OKAI,White,Adult,"Seat, Replaceable Battery, Cruise Control, Wide Platform, Lockable",220 Pounds,2,EA10 Series,Rubber,,58.4 Pounds,Fixed,28.3 Inches,10 Inches,Tubeless,,,mechanical drum brake + electronic brake,,6 Hours,"45""L x 21""W x 41""H",25 Miles,46.85 x 20.28 x 13.98 inches,32.5 Kilograms,OKAI,Limited Warranty,Alloy Steel,unisex-adult,"Zhejiang Okai Vehicle Co., Ltd.",EA10A,EA10,"Accessory box, 1 x NFC key, Manual, Electric Scooter, Charger",,,469,"OKAI EA10 Electric Scooter with Seat for Adults, Up to 25 Miles Range & 15.5MPH, Retro-Style Seated E-Scooter, Moped Scooter Bike with 10"" Vacuum Tires (Optional Basket)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,TOZVTOO,Black,Adult,"IP54 Waterproof, Lights, Foldable, APP Connection, Cruise control",265 Pounds,2,H7,Rubber,Aluminum,27 Pounds,Adjustable,44.9 Inches,8.5 Inches,Solid,Rear Suspension,,Rear Braking + E-ABS,,5 Hours,,21 Miles,44.49 x 21.26 x 12.6 inches,33.1 Pounds,TOZVTOO,"Provide 6 months warranty on different parts (including motor, battery, motor, charger, controller, voltage lock). And we provide 7*24 hours fast after-sales service and 60-day refund policy.",Aluminum,Unisex-Adult/Youth,"SHENZHEN QINGMAI BICYCLE CO.,LTD",,B,"E-Scooter: 1PC, Charger: 1PC, Manual: 1PC, Screws & Wrench: 1set.",,,269,"Electric Scooter Adults 350W Up to 19 Miles Long-Range and 19 MPH, 8.5"" Solid Tires, Portable Foldable Commuting Scooter Electric for Adults with Double Braking System and App Control",4.0,,,,,,,,,,,43.31 x 16.93 x 44.69 inches,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Gotrax,Green,35 to 44,Lightweight,154 Pounds,2,Gotrax Gks Electric Scooter Kick Start Boost And Gravity Sensor Kids 6 ' Wheels Ul Certificated E,Rubber,,17.8 Pounds,Adjustable,23.62 Inches,6 Inches,Solid,,,Rear Braking,,,,,26.8 x 10.1 x 9.4 inches,8.41 Kilograms,Gotrax,180 Day Limited,Aluminum,Unisex-teen,"ZHEJIANG TAOTAO VEHICLES CO., LTD",GT-GKS,GKS,"User Manual, Scooter, Charger",32 x 15.2 x 34.2,,99,"Gotrax GKS Electric Scooter for Kid Ages 6-12, Max 4 Miles Range and 7.5 Mph Speed, 6"" Solid Rubber Wheels UL2272 Certification, Lightweight Electric Kick Scooter for Kids Boy Girl",4.5,,,,,,,,,,,34 x 15 x 32 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,VOBET,Black,Adult,Foldable,264 Pounds,2,V5,Aluminum,Aluminum,37.4 Pounds,Adjustable,,8.5 Inches,Solid,Dual Suspension,,Front Braking,Limited,12 Hours,"45.27""L x 19.68""W x 43.3""H",18.5 Miles,45.3 x 16 x 7.7 inches,18.48 Kilograms,VOBET,180 days,Aluminum,unisex-adult,VOBET,V5,"350W 8.5""Tire 18.5MPH 18.5MILE",,Scooter with charger,,279,"VOBET Adults Electric Scooter,350W/250W Motor,8.5/6.5Inch Solid Tire,18.5/13 Miles 18.5/13 MPH Portable Folding Commuting Scooter for Adults with Front and Rear Shock Absorption System",3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,M MASSIMO MOTOR,Black,Kid,Adjustable Handlebar Height,110 Kilograms,2,Kid's Electric Scooter,Plastic,,9.26 Pounds,Adjustable,,3 Inches,Solid,,,Rear Braking,,,,,25.8 x 12.5 x 6.4 inches,5.17 Kilograms,M MASSIMO MOTOR,30 days,Plastic,Unisex-teen,M MASSIMO MOTOR,,,Charging cable,,,89,"Massimo Motor SUNL 120W Electric Scooter for Kids 5 and up Adjustable Handle Height Up 6mph and 8 Mile Per Charge, Electric Lightweight Short Commuting Electric Scooter for Boys and Girls",,,,,,,,,,,,27 x 13.5 x 28 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Segway,Black,Adult,"6000W Two-Wheel-Drive Air Cooled Hub Motor, Front and rear spring suspension /Front and rear adjustable damper, Cruise Mode /Bost Mode, SDTC, Wide Platform, Front and Rear Hydraulic Disc Brake, Aircraft Grade Aluminum Build, Dual Charging Port, Transparent PM-OLED Dispaly",150 Kilograms,2,GT2P,Rubber,Aluminum,116 Pounds,Adjustable,,11 Inches,Self-sealing tubeless tires,Front and Rear Damper Adjustable Suspension,Ergonomic,"Rear Braking, Front Braking",Limited,6 Hours,"58.2""L x 25.8""W x 55.1""H",55.9 Miles,62 x 36.5 x 14 inches,65.32 Kilograms,Segway,1 year manufacturer,Aluminum,Unisex-adult,"Ninebot (Changzhou) Tech Co., Ltd.",GT2P,GT2P,"Scooter, charger, accessory box",Large,,"3,373","Segway SuperScooter GT Electric Scooter- GT2 6000W Motor(Ver.GT1 3000W), 55.9 Miles Long Range(Ver.GT1 43.5) & 43.5MPH（Ver.GT1 37.3MPH, Dual Suspension, 11"" Tires, Commuter E Scooter Adults",& FREE Shipping,,,,,,,,,,1,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Razor,Black,Adult,"Portable, Lights, Foldable",220 Pounds,2,C45,Polyurethane,,40.2 Pounds,Adjustable,,,,Front Suspension,,Front Braking,,,,,47 x 25 x 7.8 inches,24.04 Kilograms,Razor,90 days,Aluminum,unisex-teen,Razor,C45,,"C45 Scooter, Charger, Manual",,,499,"Razor C45 Electric Scooter – Up to 19.9 MPH with Cruise Control, Up to 23 Miles of Range, Foldable and Portable, Bluetooth Wireless Tech Enabled to Connect to Razor E Rides App [Amazon Exclusive]",5.0,,,,,,,,,,,45 x 17.4 x 44.2 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Razor,Black,Big Kid,Foldable,120 Pounds,2,E100,Rubber,Alloy Steel,,The height of the handlebars is not adjustable,907 Millimeters,,"Solid,Pneumatic","Hand-operated,caliper, front","Soft,rubber","Hand-operated,caliper, front",90-day Warranty,6 Hours,,9.94 Miles,34 x 17.1 x 8 inches,30.2 Pounds,Razor,,Alloy Steel,unisex-teen,Razor,13110097,,,Large,,174,"Razor E100 Kids Ride On 24V Motorized Powered Electric Kick Scooter Toy, Speeds up to 10 MPH with Brakes, and Pneumatic Tires for Kids Ages 8+, Black",4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PLAYBIK,black,Adult; Teen,"Non Slip Deck, Headlights and Taillight, Wide Platform, Foldable, LCD-Display",265 Pounds,2,PLAYBIK,Rubber,Die-casting Meganesium Alloy,28.7 Pounds,Fixed,25.5 Inches,8.5 Inches,Solid,Rear Suspension,,Rear Braking,,4 Hours,"42.9""L x 16.9""W x 44.8""H",21 Miles,,,PLAYBIK,Offer 6 months or 12 months warranty for different parts. Provide technical support and fast after-sales service in the United States.,Die-casting Meganesium Alloy Integrated frame Aluminum alloy Shell,unisex-adult,"Shenzhen Qingmai Bicycle Co, Ltd.",,"Teens Street Sports,Worker Commuter Rider",,,,279,"PLAYBIK Electric Scooter for Adult,350W Commuter Electric Kick Scooter Up to 19MPH & 19-21Miles Range Powerful Sport Scooters w/Double Braking,8.5''Tires Foldable LED Display E Scooter for Adult Teens",3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Gotrax,Black,Adult,Foldable,220 Pounds,2,XR,Rubber,Aluminum,32 Pounds,Adjustable,36 Inches,8.5 Inches,Pneumatic,Front Suspension,Ergonomic,Rear Braking,Limited,4 Hours,"43.3""L x 17.32""W x 44.09""H",18.6 Miles,39.2 x 14.2 x 8.25 inches,16.94 Kilograms,Gotrax,365 day limited warranty,Aluminum,unisex-adult,"ZHEJIANG TAOTAO VEHICLES CO.,LTD",XR,18miles(tail light),"User Manual, Scooter, Charger",,,349,"Gotrax XR Series Electric Scooter -8.5"" Pneumatic Tires, Max 16/18Miles Range and 15.5Mph Speed Power by 300W Motor, Aluminum Alloy Body and Cruise Control for Foldable Commuter E-Scooter for Adult",4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,MAXTRA,Black,Kid,Portable,45 Pounds,2,ML-44GDRS-ES-E120,Polyurethane,Alloy Steel,26 pounds,Adjustable,33 Inches,6 Inches,Solid,No,Ergonomic,Rear Braking,Limited,6 Hours,"34""L x 8""W x 38""H",,,,,,,,"Foshan Renshan Intelligent Medical Devices Co.,Ltd",,,,,,169,"MAXTRA E120 Electric Scooter with Seat for Kids Ages 6-12, 60 Mins Long Battery Life, Removable Seat 2 Riding Styles, 155lbs Max Load",4.0,,,,B08H87PPJN,ML-44GDRS-ES-E120,2 12V batteries required. (included),"#69,048 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#269 in Sport Scooters","4.0
446 ratings
4.0 out of 5 stars",unisex,,,,,,,,,,,,,,,,6 - 12 years,,,,,,,,,,,,,,,,,,,,,,,,
122,ScootHop,Yellow,Toddler,"3 Adjustable Handlebar Height, Wide Anti-Slip Platform, Lean-to Steer Design, Long Battery Life, 3 Flashing Wheels",60 Kilograms,3,PG-K3,Rubber,Aluminum,,Adjustable,31.6 Inches,4.72 Inches,Solid,No,Ergonomic,Rear Braking,,3 Hours,"25.6""L x 12.38""W x 35.5""H",8 Miles,25.8 x 13.8 x 8.2 inches,4.58 Kilograms,ScootHop,1-years warranty,Aluminum,Kid,ScootHop,PG-K3,,"3 wheel kids electric scooter,manual,charger,tools",,,169,"Scoothop 3 Wheel Electric Scooter for Kids, Motorized Scooter for Kids with Flashing LED Wheels,5Mph Safe Speed, Lean to Steer, 3 Height Adjustable, Kids Electric Scooter for Ages 2-8",4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,MAXTRA,Black,Kid,Foldable,155 Pounds,2,ML-44GDRS-ES-E120,,,26 Pounds,Adjustable,,6 Inches,Solid,,,Rear Braking,,6 Hours,,,34.5 x 12.5 x 8.5 inches,32 Pounds,MAXTRA,,,,"Foshan Renshan Intelligent Medical Devices Co.,Ltd",,,,,,169,"MAXTRA E120 Electric Scooter with Seat for Kids Ages 6-12, 60 Mins Long Battery Life, Removable Seat 2 Riding Styles, 155lbs Max Load",4.1,,,,,,,,,,1,34 x 8 x 38 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Glion,Black,Adult,"SGS Certified to Meet UL2272 Standard for Safety, Patented Dolly and Vertical Self Standing Feature, Dual Headlamps and Rear Brake Light, Cruise Control, 400 Watt Motor and 12.8 AH Premium Battery",255 Pounds,2,DollyXL,Rubber,Aluminum,40 Pounds,Adjustable,34 - 45 inches from ground Inches,10 Inches,Pneumatic,Dual Suspension,,"Front Braking, Rear Braking",Limited one year manufacturer warranty,5.5 Hours,,28 Miles,44.5 x 22 x 11 inches,24.95 Kilograms,Glion,1 year manufacturer,Aluminum,Outdoor,Probity Cell LLC dba Glion,,,2A Charger,DollyXL,,449,Glion DollyXL,,Commuting,,,,,,,,,,46 x 7.25 x 45 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Bogist,Red,Adult,"Portable, Lights, Foldable",27.69 Kilograms,2,C1,Rubber,,23 Kilograms,,,10 Inches,Pneumatic,Dual Suspension,,"Front Braking, Rear Braking",,10 Hours,,24 Miles,47.2 x 20.25 x 10.4 inches,27.69 Kilograms,Bogist,"AFTER-SALES SERVICE: scooter accessories quality problems within 6 months free replacement parts (except battery compartment water, tires, brake wear parts). If you encounter any problems in the process of use, please contact us in time with our Amazon mailbox, the customer service team will deal with the relevant information within 24 hours and provide professional after-sales service, please rest assured that you can buy and use.",Aluminum,unisex-adult,"Yongkang Kede intelligent Technology CO.,Ltd.",Bogist C1 Pro,,charger tool kit user manual mobile phone holder C1 Pro electric scooter,,,799,"Electric Scooter,Fast-Charging 800W Motorized Scooter,24 Miles Range, 28 MPH Portable Folding Commuter Electric Scooter for Adults,Dual Suspension Braking",& FREE Shipping,,,,,,,,,,,45 x 19 x 45 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,YADEA,Elite Prime-Gray,Adult,"Front and rear dual shock absorbers, 65km long range, Light Up Wheels, Triple braking system, 1500W motor",265 Pounds,2,YDX1,Rubber,Aluminum,61.7 Pounds,Fixed,41.3 Inches,10 Inches,Solid,Dual Suspension,,Drum brake,Limited,8 Hours,,40 Mils,50 x 25 x 11 inches,29.48 Kilograms,YADEA,180 days warranty,Aluminum,,YADEA,YDX1,,,,,"1,499","Yadea ElitePrime X1 Electric Kick Scooter, Power by 1500W Motor, Up to 40 Miles Range and 18.6MPH, with 10-inch Tires, Triple Brakes & Suspension, 30% Hill Grade, Electric Scooter for Adults",4.7,"Stunts, Commuting",,,,,,,,,,48.43 x 22.83 x 52.76 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,G-CYCLE,Black,,,,,Zsf-wb-b,,,0.22 Kilograms,,,,,,,,,,,,11.89 x 6.46 x 5.71 inches,0.33 Kilograms,G-CYCLE,no,Polyester,unisex-adult,"Shenzhen Z.S.F Technology Co., Ltd",,Waterproof Bag,no,Small,,35,"G-CYCLE L8 Pro Electric Scooter, Max 500W Motor, Up to 18 Miles Long Range, 18% Slope, 8'' Honeycomb Tire, Front Shock Absorber, Triple Braking System, Foldable E Scooter for Adults",Total price:,,,,,,,,,,,,,,,,,,,,,,,,,,Scooter,Solid,Handlebar Mount,Adjustable,3 Liters,Zipper,Web Handle,Soft,,,,,,,,,,,,,,,,
128,,Black,,,,,Buggy,,,14.11 Pounds,,,,,,,,,,,,20.8 x 16.8 x 8.1 inches,6.49 Kilograms,Hover-1,90 days,Plastic,Self Balancing Scooters,DGL Group,HY-H1-BGY,Buggy,"User Manual, Go-Cart","23"" x 9"" x 19""",,59,Hover-1 Buggy Attachment for Transforming Hoverboard,4.4,,,,,,,,,,1,23 x 9 x 19 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,OKAI,White,Adult,"Dual Braking System, Cruise Control, Wide Platform, Lockable, Foldable",220 Pounds,2,ES10,Rubber,Aluminum,33 Pounds,Fixed,,9 Inches,Neon Lite: Tubeless Neon: Solid + Pneumatic,,Ergonomic,"Front：electric brake, Rea: disc brake",Limited,4.5 Hours,,18.6 Miles,43 x 18 x 10 inches,18.51 Kilograms,OKAI,Limited Warranty,Aluminum,Unisex-adult,"Zhejiang Okai Vehicle Co., Ltd.",ES10,ES10,Electric Scooter,,,424,"OKAI Neon Electric Kick Scooter - ES10/20/30 Models - 18.6-50 Miles Range & 15.5-20 MPH, Dual Brakes - Commuter Electric Scooter for Adults & Teens",4.3,,,,,,,,,,,42.7 x 44.9 x 17.7 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Segway,Dark Grey,Adult,Foldable,220 Pounds,2,Ninebot Electric Kick Scooter - F25/F30/F40/F72,Rubber,,32.2 Pounds,Adjustable,,10 Inches,,Dual Suspension,,"Front Braking, Rear Braking",Limited,6.5 Hours,"45""L x 18.9""W x 45.67""H",,47 x 20 x 8.5 inches,18.53 Kilograms,Segway,1-year limited warranty,Aluminum,Unisex-adult,"Ninebot (Changzhou) Tech Co., Ltd.",AA.00.0010.75,F25,"Scooter, charger, accessory box",Large,,399,"Segway Ninebot Electric Kick Scooter - F25/F30/F40/F65 Models with 300W-700W Motor, 12.4-40.4 Mile Long Range & 15.5-18.6 MPH, Pneumatic Tire, Dual Brakes - Commuter E-Scooter for Adults",4.0,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Blutron,Black,Adult,Foldable,250 Pounds,2,Blutron One,Rubber,Aluminum,36.2 Pounds,Fixed,,10 Inches,Pneumatic,Dual Suspension,,"Rear Braking, Front Braking",Limited,6.5 Hours,"45.47""L x 20.08""W x 46.85""H",25 Miles,46 x 21.75 x 8.75 inches,20.43 Kilograms,Blutron,"One-year or 180-day warranty for different parts, please refer to warranty information in product details below or the user manual.",Aluminum,Unisex-adult,Blutron,S40,All-season,,,,499,"Blutron One S40 Electric Scooter, 700W Peak Power Motor, Impressive 25 Mile Range, 20 Mph, Dual Brakes & Suspension, 10'' Pneumatic Tires, Cruise Control, Foldable and Fast Charging Scooter",3.5,,,,,,,,,,1,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,SWENAT,Black,Adult,Foldable,330 Pounds,2,9 inch wide tires,Rubber,,55 Pounds,Adjustable,,9 Inches,Solid,,,Rear Braking,6 months warranty,6 Hours,,25 Miles,44.8 x 20.47 x 9.85 inches,26 Kilograms,SWENAT,1 years manufacturer,Stainless Steel,Unisex-adult,"Dongguan Baozou Technology Co., Ltd.",9 inch wide tires,,Bag,,,499,"Electric Scooter for Adults,9"" Solid Tire, Max 25 Mile and 25Mph Speed, IPX4 Waterproof Foldable Long Range E-Scooter for Adult (Black)",3.0,,,,,,,,,,,43.3 x 9.01 x 48.5 inches,,Adults electric scooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Drosery,Black,Adult,"Lights, Foldable",120 Kilograms,2,HT-T4Pro,Rubber,,12.8 Kilograms,,,8.5 Inches,Solid,Dual Suspension,,Rear Braking,Limited,8 Hours,"43.31""L x 18.5""W x 45.67""H",20 Miles,43.7 x 20.87 x 6.3 inches,14.8 Kilograms,Drosery,12 months warranty,,Unisex-adult,"Shenzhen Huopingguo Technology Co., Ltd.",HT-T4Pro,,,,Skateboarding,289,"drosery Electric Scooter, 350W Motor 8.5"" Solid Tires Electric Scooter Adults, 20 Miles Range 18.6 MPH Speed with App, 36V 10.4Ah Battery, Folding Commuter Scooter Electric for for Adults Kids Teens",5.0,,,,,,,,,,1,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,N \ A,,,"Foldable, Adjustable Seat",,,,,,4 Kilograms,,,,,,,,,,"31.8""D x 18.5""W x 39.3""H",,46.54 x 18.74 x 8.35 inches,21.46 Kilograms,N \ A,,Alloy Steel,Women,,,,,32 x 19 x 39 inches,,149,"Exercise Bike Folding Stationary Bike Magnetic Recumbent 3-in-1 Cycling Slim Bike with Arm Resistance Bands & LCD Monitor for Men and Women Indoor Outdoor, black, 32 x 19 x 39 inches",& FREE Shipping,Indoor,,,,,,,,,,19 x 39 x 32 inches,,,,,,,,,,,,,,,,,,,,,,,Corded Electric,Magnetic,265 Pounds,52.7 Inches,32 Inches,8,,,,,,,,,,
135,Jetson,Black,Kid,"Portable, Lightweight, Foldable",132 Pounds,3,JJUP3W-BLK,,,7 Pounds,Adjustable,29.5 Inches,5 Inches,Flashrider 360 Wheels,,,Rear Braking,Limited,,,,24.4 x 12.3 x 7.2 inches,4.31 Kilograms,Jetson,1 Year,"Plastic, Nylon, Steel",,Jetson Electric Bike,JJUP3W-BLK,Scooter,Jupiter 3 Wheel Kick Scooter,3-Wheel,,52,"Jetson Jupiter Mini Kids 3-Wheel Light-Up Kick Scooter, Lights on Stem & Wheels, 8 Different Light Patterns, Adjustable Handlebar, Rear Brake, Easy-Folding Mechanism, Ages 3+",4.6,,,,,,,,,Unisex-teen,,22 x 10.4 x 24 inches,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,GTRACING,,,,"Shenzhen Yonglite Technology Co., Ltd.",,,,,,269,"GTRACING Electric Scooter Adults with Seat, Foldable Commuting E-Scooter Power by 350W Motor and App Control, 15 Miles Range, 6/9/16Mph Three Gear Speeds, 8.5"" Pneumatic Tire",3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,Silver,,,,,13116312,,,,,,,,,,,,,,,41.5 x 20.1 x 9.2 inches,50.9 Pounds,Razor,,Metal,Unisex-adult,Razor,13116312,,,"41 x 17 x 42""",,330,"Razor E325 Durable Adult & Teen Ride-On 24V Motorized High-Torque Power Electric Scooter, Speeds up to 15 MPH with Brakes and Pneumatic Tires",4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,Black,,Dual Braking System; App Lock; 19mph Speed; Bag Gift.,120 Kilograms,2,m365,Rubber,,,,,8.5 Inches,Solid,,,"Rear Disc Braking, Front Electric Braking",,,,19 Miles,,,,,Aluminum,unisex-adult,"ANT ZHILIAN (SHENZHEN) CO.,LTD",,Commuter,,,,225,"Electric Scooter, 350W Up to 19 MPH & 19 Miles, Smart APP Commuter Electric Kick Scooter, Portable Double Brake System, 8.5'' Honeycomb Tires, E-Scooter for Adult Teens",Total price:,,,,,,,,,,1,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
